date,location,dayLength,dayLengthSeconds
2020-12-20,"Kigali, Rwanda",12:14:17,44057
2020-12-20,"Tromsø, Norway",00:00:00,0
2020-12-20,"Hong Kong",10:45:52,38752
2020-12-20,"Copenhagen",07:01:33,25293
2020-12-20,"Los Angeles",09:53:05,35585
2020-12-20,"Torres del Paine, Chile",16:32:27,59547
2020-12-20,"New York",09:15:19,33319
2020-12-20,"Queenstown, New Zealand",15:37:30,56250
2020-12-20,"Anchorage, Alaska",05:27:33,19653
2020-12-20,"Wells, Maine",08:58:06,32286
2020-12-20,"Cape Town",14:25:01,51901
2020-12-21,"Torres del Paine, Chile",16:32:25,59545
2020-12-21,"Anchorage, Alaska",05:27:39,19659
2020-12-21,"Queenstown, New Zealand",15:37:32,56252
2020-12-21,"Copenhagen",07:01:34,25294
2020-12-21,"Los Angeles",09:53:06,35586
2020-12-21,"Kigali, Rwanda",12:14:18,44058
2020-12-21,"Hong Kong",10:45:52,38752
2020-12-21,"Tromsø, Norway",00:00:00,0
2020-12-21,"New York",09:15:21,33321
2020-12-21,"Wells, Maine",08:58:08,32288
2020-12-21,"Cape Town",14:25:01,51901
2020-12-22,"Queenstown, New Zealand",15:37:29,56249
2020-12-22,"Torres del Paine, Chile",16:32:17,59537
2020-12-22,"Wells, Maine",08:58:14,32294
2020-12-22,"Anchorage, Alaska",05:27:58,19678
2020-12-22,"Los Angeles",09:53:11,35591
2020-12-22,"Hong Kong",10:45:52,38752
2020-12-22,"Tromsø, Norway",00:00:00,0
2020-12-22,"New York",09:15:26,33326
2020-12-22,"Copenhagen",07:01:42,25302
2020-12-22,"Kigali, Rwanda",12:14:18,44058
2020-12-22,"Cape Town",14:24:58,51898
2020-12-23,"Kigali, Rwanda",12:14:17,44057
2020-12-23,"Torres del Paine, Chile",16:32:01,59521
2020-12-23,"Los Angeles",09:53:19,35599
2020-12-23,"Copenhagen",07:02:00,25320
2020-12-23,"New York",09:15:36,33336
2020-12-23,"Wells, Maine",08:58:25,32305
2020-12-23,"Tromsø, Norway",00:00:00,0
2020-12-23,"Queenstown, New Zealand",15:37:21,56241
2020-12-23,"Hong Kong",10:45:56,38756
2020-12-23,"Anchorage, Alaska",05:28:28,19708
2020-12-23,"Cape Town",14:24:52,51892
2020-12-24,"Queenstown, New Zealand",15:37:07,56227
2020-12-24,"Wells, Maine",08:58:39,32319
2020-12-24,"Anchorage, Alaska",05:29:11,19751
2020-12-24,"Los Angeles",09:53:29,35609
2020-12-24,"Cape Town",14:24:42,51882
2020-12-24,"Torres del Paine, Chile",16:31:39,59499
2020-12-24,"Kigali, Rwanda",12:14:17,44057
2020-12-24,"Tromsø, Norway",00:00:00,0
2020-12-24,"New York",09:15:49,33349
2020-12-24,"Copenhagen",07:02:24,25344
2020-12-24,"Hong Kong",10:46:01,38761
2020-12-25,"New York",09:16:06,33366
2020-12-25,"Tromsø, Norway",00:00:00,0
2020-12-25,"Kigali, Rwanda",12:14:16,44056
2020-12-25,"Copenhagen",07:02:57,25377
2020-12-25,"Wells, Maine",08:58:58,32338
2020-12-25,"Cape Town",14:24:29,51869
2020-12-25,"Anchorage, Alaska",05:30:07,19807
2020-12-25,"Torres del Paine, Chile",16:31:11,59471
2020-12-25,"Los Angeles",09:53:43,35623
2020-12-25,"Hong Kong",10:46:08,38768
2020-12-25,"Queenstown, New Zealand",15:36:48,56208
2020-12-26,"New York",09:16:28,33388
2020-12-26,"Cape Town",14:24:13,51853
2020-12-26,"Torres del Paine, Chile",16:30:35,59435
2020-12-26,"Anchorage, Alaska",05:31:14,19874
2020-12-26,"Wells, Maine",08:59:23,32363
2020-12-26,"Los Angeles",09:53:59,35639
2020-12-26,"Tromsø, Norway",00:00:00,0
2020-12-26,"Queenstown, New Zealand",15:36:25,56185
2020-12-26,"Copenhagen",07:03:38,25418
2020-12-26,"Hong Kong",10:46:16,38776
2020-12-26,"Kigali, Rwanda",12:14:14,44054
2020-12-27,"Wells, Maine",08:59:51,32391
2020-12-27,"New York",09:16:53,33413
2020-12-27,"Torres del Paine, Chile",16:29:53,59393
2020-12-27,"Queenstown, New Zealand",15:35:57,56157
2020-12-27,"Hong Kong",10:46:27,38787
2020-12-27,"Los Angeles",09:54:20,35660
2020-12-27,"Copenhagen",07:04:27,25467
2020-12-27,"Anchorage, Alaska",05:32:33,19953
